Nom_poste,Contrat,Description,Salaire,Experience,Entreprise
Alternance Assistant Conducteur de travaux - Data center - PARIS (75) F/H (H/F),"
Contrat à durée déterminée - 24 Mois

Contrat apprentissage
"," Au sein de VINCI Construction, la délégation des Ouvrages fonctionnels neufs Île-de-France regroupe les marques Bateg, CBC, CBI, VERDOÏA et ADIM Paris Île-de-France (Pôle Tertiaire et Grands Projets).

Nous intervenons dans la construction de bâtiments neufs dans le cadre de marchés privés et publics (bureaux, hôtellerie, équipements publics, bâtiments industriels, établissements de santé .).

En 2024, une soixantaine de chantiers ont été menés grâce aux innovations techniques, aux expertises et savoir-faire de nos 1200 collaborateurs.

Parmi nos opérations d'envergure : la Tour The Link, le Village des athlètes : Universeine, le Nouveau Lariboisière, le Centre Pompidou Francilien, le premier Temple hindou traditionnel sur le territoire, l'ensemble immobilier A7A8 du quartier Austerlitz, le Complexe Sportif du Plessis Robinson et bien d'autres encore !

Vous souhaitez prendre part à des projets à forts défis auprès d'équipes motivées et compétentes ?

Postulez, votre place est parmi nous ! #vousserezbiencheznous

Nous recherchons un alternant intégrant un cycle ingénieur ou Licence/BUT à la rentrée prochaine en tant qu'Assistant Conducteur de travaux pour rejoindre les équipes du chantier d'un datacenter à Paris (75011).

Votre quotidien en tant qu'alternant au poste d'Assistant Conducteur de travaux ?

Vous serez rattaché à nos équipes travaux et affecté au chantier Telehouse cooling, un Data Center situé au cœur de Paris (75011). Avec une superficie de 12 000 mètres carrés, le chantier a pour objectif de rénover des installations de productions et de distribution de froid du data center afin de d'améliorer sa performance énergétique. Votre rôle consistera à :

 Gestion des sous-traitants en phase travaux,

 Suivi et validation des situations de travaux des sous-traitants

 Gestion des prestataires gardiennage, nettoyage base vie, rotation benne, location engin de chantier, échafaudage,

 Effectuer des autocontrôles qualités des ouvrages en cours d'exécution,

 Participer à la finalisation des études des lots architecturaux serrurerie et platerie,

 Effectuer les levées de réserves,

 Veiller à l'application des règles de sécurité et des procédures imposées par le client.

Cette liste non-exhaustive évoluera en fonction des besoins du chantier et de vos appétences.

Et si c'était vous ?

Démarrant un cycle ingénieur ou une Licence/BUT à la rentrée 2025, vous recherchez une alternance stimulante en tant qu'Assistant Conducteur de travaux 

Vous avez une 1ère expérience sur chantier dans le bâtiment durant laquelle vous avez effectué de la lecture de plans et de la rédaction de comptes rendus/mails. Vous maîtrisez le Pack Office et avez des connaissances en  AutoCAD,  Revit et Project.

Votre sens du relationnel, votre esprit d'équipe, votre ponctualité, votre curiosité et votre motivation vous apporteront réussite dans votre fonction.

Vous bénéficiez d'une Reconnaissance de la Qualité de Travailleur Handicapé (RQTH) ? Faites-le nous savoir, ce poste vous est ouvert !

 Type de contrat : Contrat d'apprentissage.

¿ Démarrage : Septembre 2025.

 Durée : 1 à 2 ans.

 Rythme d'alternance souhaitée : par jour (1 à 2 jours d'école par semaine), par semaine (1 à 2 semaines d'école par mois) ou par mois (1 à plusieurs mois d'affilée d'école par an).

 Lieu : Paris (75011).

Après un 1er contact avec notre service des Ressources Humaines, vous aurez l'occasion de vous entretenir avec un opérationnel qui vous présentera plus en détails son chantier.


Mission :
 Au sein de VINCI Construction, la délégation des Ouvrages fonctionnels neufs Île-de-France regroupe les marques Bateg, CBC, CBI, VERDOÏA et ADIM Paris Île-de-France (Pôle Tertiaire et Grands Projets).Nous intervenons dans la construction de bâtiments neufs dans le cadre de marchés privés et publics (bureaux, hôtellerie, équipements publics, bâtiments industriels, établissements de santé .).En 2024, une soixantaine de chantiers ont été menés grâce aux innovations techniques, aux expertises et savoir-faire de nos 1200 collaborateurs.Parmi nos opérations d'envergure : la Tour The Link, le Village des athlètes : Universeine, le Nouveau Lariboisière, le Centre Pompidou Francilien, le premier Temple hindou traditionnel sur le territoire, l'ensemble immobilier A7A8 du quartier Austerlitz, le Complexe Sportif du Plessis Robinson et bien d'autres encore !Vous souhaitez prendre part à des projets à forts défis auprès d'équipes motivées et compétentes ?Postulez, votre place est parmi nous ! #vousserezbiencheznous...",,Expérience exigée,
Tech Lead Data Ingénieur (F/M/X) - Issy-les-Moulineaux (92) (H/F),"
Contrat à durée indéterminée

Contrat travail
","Sous la supervision directe de notre Directrice Delivery & Data Solutions, vous jouerez un rôle clé dans la conception, le développement et la mise en oeuvre de solutions data robustes, évolutives et adaptées aux besoins des entreprises dans une ère dominée par l'intelligence artificielle. Vous serez responsable de piloter les aspects techniques des projets data, tout en garantissant leur alignement avec les meilleures pratiques en matière de Data, BI, Code, Agilité, et de DevSecOps. Vous serez également un moteur d'innovation dans l'intégration et l'exploitation des technologies de pointe en IA.
Au sein de la Digital et Data Factory, la verticale Data Plateforme travaille en étroite collaboration avec nos équipes de Product, Data Managers, Data Analysts, Data Scientists, ML Engineers.
Vos principales missions seront :
-Concevoir l'architecture des solutions Data avec une vision de bout en bout (depuis la récupération des données en amont jusqu'à la Restitution/Exposition)
-Être le relai des référents techniques du centre à l'échelle du projet / du produit en matière de normes et de bonnes pratiques techniques (revues de code, qualification technique à l'échelle, optimisation ...) et le relai en termes d'exigences non fonctionnelles : sécurité, performance, Règlementation
-Être Référent sur les bonnes pratiques de développement
-Accompagner les développeurs de l'équipe pour poursuivre la montée en compétences
-Contribuer à l'enrichissement des normes et bonnes pratiques
-Contribuer à l'avancée des travaux du socle technique (Framework, outillage de restitution ou d'analyse de données : DataViz & Data Science, CI/CD)
-Réaliser des études : outillage, réduction de la dette technologique, etc
Vous participez activement à la réalisation de nos projets:
-Intervention sur des sujets d'avant-ventes, de conseil et d'audit Data
-Conception et mise en oeuvre de flux d'intégration
-Conception et réalisation de restitutions BI/Dataviz
-Optimisation technique et fonctionnelle en termes de performance et de qualité logicielle
-Recette et déploiement des solutions réalisées
-Maintenance corrective et évolutive de l'existant du client
-Installation et paramétrage de plateforme BI/Data
-Préconisation d'outils et/ou technologies et veille technologique continue
  
 Diplômes / Qualifications 

Diplôme : Bac+5 en informatique ou domaine connexe

Expérience 
Minimum de 10 ans d'expérience dans un rôle de DevOps ou similaire, avec une expérience avérée dans la gestion des pipelines CI/CD

Expertise :
- Expériences significatives dans la Data et BI et/ou Big Data et/ou Data science
- Expériences significatives dans l'intégration de systèmes décisionnels
- Bonne capacité de compréhension des sujets et problématiques techniques Data de nos clients et utilisateurs
- Solides notions d'architecture applicative Data (Data intégration, Cloud, Stockage, autres)
- Maîtriser les bases de données relationnelles : SMP (PostgreSQL) et MPP (Teradata)
- Maîtriser les outils ETL / ELT : Talend, DBT
- Maîtriser les outils DataViz : Power BI, SAP BO
- Expertise en langage SQL
- Maîtriser la programmation orientée objet (POO) et connaissance du langage Java et Python
- Maîtriser les outils de versioning GIT
- Connaissance d'outils d'intégration et le déploiement continu (CI/CD) Azure DevOps, GitHu
- Maîtriser les modélisations de données (Merise / Etoile / Flocon / Dénormalisation)
- Connaissance des techniques et algorithmes de machine learning est un plus
- La connaissance des LLM et de l'IA est un plus
- La connaissance d'au moins une solutions cloud leader sur le marché est un plus (notamment Microsoft)

Compétences exigées :
- Anglais courant exigé (écrit et oral)
- Familier avec l'environnement technique Linux
- Maîtrise des outils CI/CD : Azure DevOps, autre
- Capacité à résoudre les problèmes de manière proactive et efficace
- Esprit d'initiative et capacité à travailler de manière autonome


Qualités recherchées :
- Sens de l'organisation et de la coordination
- Coopération et esprit d'équipe
- Très bonne communication orale et écrite
- Autonome et proactif, avec de solides capacités d'analyse et de synthèse
- Facilité et appétence à travailler sur de nouvelles technologies
- Reconnu(e) pour votre leadership, vous encadrez et coordonnez des équipes
- Appétence vis-à-vis des approches Agile, entre autres le framework Scrum
- Goût du challenge
- Goût du partage et de la transmission de son expertise",,Expérience exigée de 10 An(s),"
SAUR
"
Data contrôleur H/F,"
Contrat à durée indéterminée

Contrat travail
","Votre mission :

Baker Tilly recherche un Data contrôleur H/F pour intégrer une équipe à taille humaine aux compétences variées travaillant en proximité avec ses clients, ces femmes et ces hommes qui recherchent un véritable service sur mesure.
Au sein de cette équipe, avec l'appui d'outils performants (IA), vous êtes au coeur de notre mission à forte valeur ajoutée : l'accompagnement de nos clients.
Interlocuteur des clients, vous êtes garant du traitement et de la fiabilité des données. Pour cela vous menez à bien vos missions :
Orienter les clients dans l'utilisation de nos outils ;
Suivre la collecte et la fiabilité des données comptables des clients (factures d'achats /ventes, etc..) ;
Détecter les pièces manquantes dans le dossier client et effectuer les relances nécessaires ;
Détecter, traiter et corriger les erreurs et anomalies potentielles de l'IA (flux bancaire, lettrage, ...) ;
Etablir les TVA ;
Préparer les tableaux de bord ;
Echanger avec le Chargé de missions expertise comptable en continu.



  
 Pourquoi nous rejoindre?

Vivre l'aventure Baker Tilly, c'est rejoindre une entreprise en plein développement où les relations humaines sont au coeur de notre activité.    
Dès votre premier jour, un parcours d'intégration personnalisé sera mis en place. Nous vous accompagnerons sur la technique et le relationnel client afin de vous faire évoluer vers nos nombreuses opportunités professionnelles, vers des missions de coordination, vers un rôle de Manager, vers nos métiers de l'audit social, la formation paie et le consulting RH, SIRH...  
L'esprit Baker Tilly, c'est vous mettre dans les meilleures conditions dès le départ pour une réussite commune.  
Baker Tilly s'engage activement dans une démarche RSE, certifiée par le Label Lucie 26000, pour le bien de ses salariés et de la société. 
Chez nous, l'humain est au coeur de nos priorités. Les salariés bénéficient d'une politique QVCT qui répond aux besoins aux aspirations professionnelles et personnelles (flexibilité du travail, mécénat de compétences, mobilité professionnelle et géographique, expérience à l'international,) et nous accordons une importance particulière à l'accueil des personnes en situation de handicap.

Avantages:
8 jours de télétravail par mois ;  
Tickets restaurants ;  
39h/semaine ;  
23 RTT par an ;  
Horaires variables ;  
Compte épargne temps ;  
Intéressement et participation ;  
Formations ; 
Forfait de Mobilité Durable ; 
Prime de cooptation ;  
Prime nouveaux clients ; 
Un CSE dynamique dans la proposition d'activités sociales diverses et variées et à l'écoute des salariés.

Et vous ?

Vous êtes agile sur les outils digitaux et vous disposez d'un socle ou de notions comptables.
Rigoureux, autonome et bel esprit d'équipe.
Vous vous reconnaissez ? Alors, postulez !
Osez l'esprit Baker Tilly, soyez audacieux : rejoignez-nous !",,Expérience exigée de 1 An(s),"
Baker Tilly STREGO SAS
"
"Alternance - Chef de projet junior Web, Marketing relationnel et Data F/H - Marketing (H/F)","
Contrat à durée déterminée - 12 Mois

Contrat apprentissage
","Descriptif du poste:
Vos missions :

 * DATA : Analyse des KPIs via l'outil ContentSquare, être force de proposition d'améliorations, et suivi de la mise en place de divers dashboard sur PowerBI à destination des lignes métiers et des responsables.
 * EDITORIAL et COMMUNICATION : Accompagner le Responsable Web sur l'ensemble des points éditoriaux avec chaque métier pour concevoir un plan de communication (Programme relationnel, Publication sur le site web services.totalenergies.fr, Réseaux sociaux) sur le prochain trimestre.

S'assurer que l'ensemble des livrables soient fournis par les métiers pour veiller au bon déroulement du plan de communication

 * PROGRAMME RELATIONNEL : Accompagner le Responsable du Programme Relationnel dans la mise en place des différentes communications externes via newsletter ou email : piloter lagence de communication, choisir les visuels et les textes à proposer aux métiers, validation des BATs auprès des métiers.
 * WEB : Accompagner le Responsable Web la publication de contenus sur le site web via la relecture des articles, le contrôle du maillage et le suivi des plannings.

Suivre les performances de référencement naturel du site fournies par l'agence et veiller au bon référencement du site accompagné par notre agence SEO



Profil recherché:
Domaine d'étude: Communication

Niveau d'étude souhaité: préparation d'un Bac+5

Compétences techniques:

 * Gestion de projet
 * Marketing
 * Data

Compétences informatiques:

 * Maîtrise du Pack Office
 * Marketing automation
 * Content Square (connaissance)
 * Power BI (connaissance)

Compétences comportementales:

 * Rigoureux
 * Bon relationnel
 * Curieux",Salaire brut : 20 - 20 k€ brut annuel,Débutant accepté,"
Cabinet Mozaik RH
"
DIRECTEUR(E)DATA / DIGITAL (H/F),"
Contrat à durée indéterminée

Contrat travail
","Mission principale :En tant que Chef de Projet Data / Digital, vous serez au cœur des initiatives de transformation numérique et de gestion des données. Rejoignant l'équipe en décembre , à un moment stratégique où les premières analyses et propositions seront finalisées, vous aurez pour mission de piloter l'évolution de nos pratiques digitales, d'analyser les propositions existantes, de les ajuster si nécessaire, et de mettre en place une communauté de pratique orientée vers l'innovation numérique. Vous devrez également assurer une gestion efficace du changement, en accompagnant les équipes dans l'adoption des nouvelles technologies. Principales responsabilités :Analyser, challenger et intégrer les propositions existantes : Prendre en charge les analyses et scénarios développés par les équipes internes entre septembre et décembre , en s'assurant qu'ils sont pertinents, réalistes et alignés avec la vision stratégique à long terme de la SHEM ainsi qu'avec les recommandations ou politiques émises par le Groupe Engie. Ajuster les propositions pour garantir leur faisabilité et leur impact positif sur les opérations numériques et data.Créer et animer une communauté de pratique dédiée au digital et à la data : Vous serez responsable de la création et de l'animation d'une communauté d'experts, orientée vers l'innovation, l'efficacité opérationnelle et l'optimisation des processus grâce aux nouvelles technologies et à l'exploitation avancée des données.Piloter les initiatives de digitalisation et de gestion des données : Contribuer à la modernisation des processus de la SHEM, en veillant à l'efficacité, la sécurité, et la performance des solutions digitales, tout en minimisant l'impact des changements sur les équipes opérationnelles.Mobiliser et fédérer les équipes : Votre leadership sera déterminant pour fédérer les équipes autour de cette transformation numérique, en assurant une communication fluide, en accompagnant les collaborateurs dans le changement, et en créant un environnement de travail positif et collaboratif.Gérer le changement et accompagner l'humain : Identifier les impacts organisationnels et humains des transformations numériques proposées, élaborer des plans de gestion du changement pour soutenir les équipes, et s'assurer que chaque collaborateur est accompagné dans cette transition digitale, en favorisant l'engagement et en minimisant la résistance au changement.Sécurité informatique : Mettre en place et maintenir une politique de sécurité des systèmes d'information pour protéger les données de l'entreprise contre les cybermenaces en lien avec les standards et préconisations du Groupe ENGIE.  ",,Débutant accepté,
Ingénieur-e Technico-Fonctionnel-le Data F/H (H/F),"
Contrat à durée indéterminée

Contrat travail
","Au sein de la DPIT  (Digital Performance Information Système) et plus particulièrement au sein du centre de compétences Manufacturing Fonction, le domaine couvre un périmètre transverse intégrant- La solution de Master Data Management du groupe,- Le SIRH (Système d'Information des Ressources Humaines),- Le SI de gestion sur un périmètre local orientManufacturingLe domaine est garant de l'intégrité et de la sécurité des applications informatiques sur ce périmètre applicatif. Le périmètre couvert concerne plus précisément- Le support technico fonctionnel sur la solution de Master Data du groupe- Le support technico fonctionnel sur les applications cœur de métier Framatome orientées « Manufacturing »- Le support technique sur l'application de gestion des temps (périmètre France)- Le support technico fonctionnel (périmètre Monde) sur l'application de notes de frais et sur le datamart RH (headcount),- Le support technico fonctionnel de la solution d'IAM (Gestion des identités sur le périmètre France)- Le support technique sur tous les autres outils RH (paie, on boarding, suivi des tickets .).Vos missions ou principales activités seront :· Apporter une assistante technique ou fonctionnelle aux utilisateurs· Recueillir, qualifier et analyser les besoins du métier, rédiger les spécifications fonctionnelles· S'assurer de la bonne exécution des taches d'exploitation pour les applications du domaine· Participer aux projets de mise en œuvre des nouvelles solutions et traiter le maintien en condition opérationnelle· Assister le métier pour les tests et recettes et l'approbation des livraisons (projets ou releases d'évolutions)· Contribuer au développement et à l'intégration dans le SI· Contribuer à la communication générale et au reporting· Réaliser une veille applicative sur les applications du domaine qui vous seront confiées",,Débutant accepté,
Alternant Data Scientist (h/f),"
Contrat à durée indéterminée

Contrat travail
","Vous êtes à la recherche de l'alternance de vos rêves ? Vous souhaitez apprendre un métier qui a du sens? Être accompagné par un tuteur inspirant et à l'écoute ?Rejoignez la Team Alternance ENGIE Vous êtes curieux (se), organismotivé(e), pour découvrir le milieu industriel dans une entité opérationnelle où chaque jour est une nouvelle aventure ? Vous avez envie d'un poste qui vous permette de développer l'ensemble de vos compétences de communicant ? Cette offre est faite pour vous ! Au sein du groupe ENGIE, notre entité ENGIE - Entreprises & Collectivités, facilite et concrétise la transition vers la neutralité carbone des entreprises, des collectivités et des copropriétés, aussi bien à travers ses solutions d'énergies, qu'en proposant des services d'accompagnement pour consommer moins et mieux. Au sein d'Engie - BP Entreprises et Collectivités, La Direction Système d'Information - Pôle Data Accelerator & IT BI / Monitoring est à la recherche : d'un Alternant Data Scientist (h/f)Durée : 1 anLieu : Paris La DéfensePériode souhaitéepartir d'octobre Filière souhaitée : Mathématiques/ Statistiques/ InformatiqueDiplôme préparé : BAC + 5 Vos missions, si vous les acceptez :Identification de problématiques métiers (issues de la Vente, du Marketing, du Pricing, de la Finance, de l'Energy Management.) et traduction en problématiques dataConception et prototypage de modèles de data science et d'intelligence artificielle adaptés à différentes typologies de données en lien avec les différentes activités de l'entreprise comme le traitement de contrats/ documents spécifiques via IA générativePréconisation d'actions concrètes et aide à la décision afin d'améliorer la rentabilité de l'entrepriseParticipation au déploiement des modèles à forte valeur ajoutée dans le Cloud Ce poste est fait pour vous si :Vous êtes en préparation d'un diplôme BAC+5/ diplôme d'ingénieur avec une spécialisation en data science, mathématiques appliquées ou statistiques. Vous êtes passionné(e) par la mise en œuvre de modèles analytiques à des cas concrets dans le domaine de l'énergieVous êtes appétant(e) à la mise en pratique de méthodes innovantes tel que l'IA générative sur une typologie variée de données Vous avez une bonne maitrise d'un des langages de programmation Python ou R. Mais également si...Vous savez vous adapter, vous aimez évoluer dans un environnement agile et en constante évolutionVous êtes curieux(se), très dynamique, sérieux(se) et très professionnel(le)Vous n'avez pas peur des challengesVous êtes un team player ! Nous rejoindre c'est surtoutPréparer votre diplôme en toute sérénité.Intégrer le monde de l'entreprise en apprenant un métier.Etudier, travailler et être payé ! Profil recherché : Niveau du diplôme préparé : BAC + 5 Qui sommes-nous ? ENGIE, l'un des premiers énergéticiens au niveau mondial, est présent sur l'ensemble de la chaîne de l'énergie, en électricité et en gaz naturel, de l'amont à l'aval. ENGIE s'appuie sur un portefeuille d'approvisionnement diversifié, et un parc de production flexible et performant pour proposer des solutions énergétiques innovantes aux particuliers, aux collectivités et aux entreprises.ENGIE Entreprises & Collectivités, Business Platform de GEMS, s'appuyant sur environ 650 collaborateurs et un maillage territorial fort, a pour mission la commercialisation en France d'énergies auprès de ses clients BtoB. Notre ambition est d'être le fournisseur-conseil de référence des Entreprises et Collectivités en les accompagnant au quotidien et durablement sur leur feuille de route vers la transition énergétique.Ainsi nous gérons et développons un portefeuille d'environ  clients de tous secteurs d'activité, représentant  sites fournis en gaz naturel, électricité.  Nous proposons des offres d'énergie et des solutions innovantes adaptées aux besoins et usages de nos clients, permettant de simplifier leur transition énergétique et de les accompagner chaque jour vers la neutralité carbone.Plus d'informations sur https://entreprises-collectivites.engie.fr ou LinkedIn https://www.linkedin.com/company/engie-entreprises-et-collectivites/mycompany/ TélétravailLes alternants sont éligibles au télétravail selon l'accord en vigueur dans notre entité, après une période d'intégration de 3 mois et selon la compatibilité avec nos activités. Chez ENGIE Entreprises et Collectivités, nous sommes fermement engagés en faveur de la diversité, de l'équité et de l'inclusion. Nous valorisons la richesse des expériences et des perspectives de chacun, et nous nous efforçons de créer un environnement où tous les talents peuvent s'épanouir. Tous nos postes sont ouverts aux personnes handicapées. Si vous avez besoin d'aménagements raisonnables pour participer au processus de recrutement, veuillez en informer votre recruteur, qui se fera un plaisir de",,Débutant accepté,
Data Manager & Conformité RGPD H/F,"
Contrat à durée indéterminée

Contrat travail
","Notre client basé à Lille est une entreprise internationale, leader dans son secteur. Il recherche un Data Manager &amp; Conformité RGPD.  En tant Data Manager &amp; Conformité RGPD, vous serez en charge de :
Organiser et centraliser les données essentielles afin d'aligner les prévisions commerciales avec les capacités de production,
Garantir la précision et la fiabilité des données relatives aux commandes, à la production et aux stocks dans le système ERP,
Travailler en étroite collaboration avec les équipes des départements ventes, production et logistique pour optimiser les processus,
Créer et maintenir un registre détaillé des données personnelles traitées par l'entreprise,
Identifier les flux de données sensibles et mettre en place des procédures afin de garantir leur conformité aux exigences légales,
Accompagner, former et sensibiliser les équipes aux bonnes pratiques pour assurer la protection des données personnelles (RGPD),
Automatiser les tâches de gestion des données via SQL et Python,
Structurer et organiser une arborescence claire et normalisée des données dans les systèmes (ERP, fichiers, GED),
Effectuer des contrôles Data quality et rectifier les anomalies éventuelles.
  
Poste évolutif,
Plusieurs avantages.",,Débutant accepté,
Chef de Projet Data Gouvernance H/F,"
Contrat à durée indéterminée

Contrat travail
","Notre client, acteur principal dans le secteur de la santé recherche un Chef de Projet Data Gouvernance pour ses locaux basés à Paris-13e-Arrondissement. Notre client recherche un Chef de Projet Data Gouvernance pour rejoindre la DSI et accompagner les exigences de mise en conformité RGPD via :
La mise en place d'une gouvernance de données,
L'élaboration et la mise en oeuvre d'une politique de gestion des données,
La construction d'un master data management axé sur la gestion de la qualité et du cycle de vie des données de leur création à leur suppression (processus de purge et archivage),
La connaissance des techniques d'anonymisation.
En tant que Chef de Projet Data Gouvernance, vos missions sont les suivantes :
Développer des stratégies et des processus d'anonymisation des données sensibles pour garantir la conformité au RGPD ; définir et mettre en oeuvre des solutions techniques pour protéger les données lors des phases de traitement/d'analyse,
Suivre les cycles de rétention des données et garantir une conformité continue,
Définir les techniques d'anonymisation pseudonymisation adaptées au type de données et environnements du SI,
Travailler en étroite collaboration avec le DPO pour garantir la conformité des processus de gestion et traitement de données aux exigences RGPD ; participer aux audits de conformité et rédiger des rapports,
Participer à la mise en place d'une stratégie de gestion des données de référence pour améliorer la qualité, la cohérence et la fiabilité des données critiques de l'entreprise ; mettre en place des indicateurs de qualité des données et assurer leur suivi en continu,
Gérer des projets de bout en bout liés à la gouvernance des données ; collaborer avec les différentes équipes métiers pour assurer une mise en place efficace des solutions de gestion des données.
Mettre en place des actions de correction des incohérences de données.
Processus de recrutement rapide, 
CDI,
Secteur : Santé,
2 jours de télétravail/semaine dès validation de la période d'essai,
Contexte international,
Environnement technique challengeant.",,Débutant accepté,
Consultant/Développeur Data H/F,"
Profession libérale

Emploi non salarié
","Notre client est une entreprise de taille moyenne opérant dans le secteur de la technologie et des télécommunications. Avec une présence significative dans plusieurs grandes villes de France, il est connu pour son approche innovante et son engagement envers la qualité.  En tant que Consultant/Développeur Data, vos responsabilités incluront :
Développement et mise en œuvre de solutions de données ;
Gestion et analyse des bases de données ;
Collaboration avec les équipes techniques pour améliorer les systèmes existants ;
Assurer la qualité des données et leur conformité aux normes de l'industrie ;
Résolution des problèmes techniques liés aux données ;
Présentation des résultats d'analyse aux parties prenantes internes ;
Formation des utilisateurs finaux sur les nouvelles fonctionnalités de données ;
Suivi des tendances et des évolutions dans le domaine de la data.
  Voici ce que notre client vous offre pour le poste de Consultant/Développeur Data :
Un salaire compris entre 50 et 55K€ ;
Une expérience enrichissante dans le secteur de la technologie et des télécommunications ;
La possibilité de travailler avec une équipe dédiée et professionnelle ;
Des opportunités de formation continue ;
Un environnement de travail stimulant et innovant.
N'hésitez pas à postuler si vous pensez que cette opportunité correspond à vos compétences et à vos ambitions. Nous nous réjouissons de recevoir votre candidature.",,Débutant accepté,
Chef de Projet Data/IA H/F,"
Contrat à durée indéterminée

Contrat travail
","Notre client est une organisation du secteur des services financiers. Il est reconnu pour son engagement envers la technologie et l'innovation, notamment dans les domaines de la data et de l'IA.En tant que Chef de Projet Data/IA, vous aurez les responsabilités suivantes :
Piloter et assurer la mise en oeuvre des solutions ;
Collaborer avec les parties prenantes pour définir les objectifs du projet et les livrables ;
Assurer la coordination entre les équipes métiers et techniques IT ;
Suivre et rapporter l'avancement du projet aux parties prenantes ;
S'assurer que les projets sont livrés dans les délais, niveau de qualité et le budget prévus ;
Identifier et gérer les risques du projet ;
Promouvoir une culture de l'innovation et de l'amélioration continue ;
Accompagner les utilisateurs dans l'adoption des solutions Data et IA ;
Assurer une communication efficace entre les membres de l'équipe du projet.
Salaire selon profil.
Poste sédentaire :
Une culture d'entreprise axée sur l'innovation et l'amélioration continue,
Des opportunités de développement professionnel et de formation continue.",,Débutant accepté,
Chef de Projet Data et Référentiels H/F,"
Contrat à durée indéterminée

Contrat travail
","Notre client est une marque de luxe spécialisée dans le prêt-à-porter, présente dans plus de 30 pays. Cette maison de mode française propose des vêtements haut de gamme, ainsi que des accessoires et des produits liés au cosmétique. C'est une entreprise engagée dans une mode durable et l'utilisation de fibres naturelles et biologiques. Pour accompagner sa forte croissance, elle recherche un Chef de Projet Data &amp; Référentiels pour suivre l'ensemble des projets Data en France et à l'international.
Poste basé à Paris (). Pour ce rôle de Chef de Projet Data &amp; Référentiels, au sein de la DSI et rattaché au Directeur des Systèmes d'Information, vous serez le principal interlocuteur sur les projets Data, BI et ETL. En tant que Chef de Projet technique capable de dialoguer avec les métiers, vos missions seront les suivantes :
Manipuler les ETL et gérer les flux de données. Écrire, comprendre et analyser les spécifications pour leur exploitation,
Piloter et coordonner les évolutions et projets liés à la donnée,
Effectuer des requêtes SQL,
Intervenir sur des sujets PLM pour la gestion des référentiels et des flux associés,
Travailler sur le PIM afin d'enrichir et diffuser les informations produits pour le e-commerce,
Administrer et manipuler les outils de BI,
Assurer la cohérence, la qualité et l'intégrité des données,
Définir et mettre en oeuvre les meilleures pratiques de gestion de la donnée pour répondre aux enjeux métiers,
Assurer l'interfaçage avec les différentes applications.
Vous piloterez des projets d'envergure et à forte responsabilité, en exploitant la donnée pour accompagner les métiers dans un contexte international.
Package attractif comprenant : 
Rémunération fixe,
Accord de participation,
Réduction sur les produits de la maison et accès aux ventes du personnel,
Tickets restaurants,
Remboursement des titres de transport,
Mutuelle avantageuse,
2 jours de télétravail.",,Débutant accepté,
Responsable DATA H/F,"
Contrat à durée indéterminée

Contrat travail
","Nous recherchons notre futur Responsable Data pour rejoindre Groupama Centre Manche. Vous jouerez un rôle clé dans la gestion et l'analyse des données de l'entreprise, et dans la mise en place de la stratégie Data de l'entreprise. Au sein de la Direction Organisation et Systèmes d'Information, vos missions seront : Responsabilités :Superviser et encadrer le pôle Data composé de 7 personnes, en assurant le développement professionnel des collaborateurs et en favorisant un environnement de travail collaboratif et motivantAnalyser les données pour fournir des insights exploitables aux différentes équipes de l'entreprise, élaborer des analyses prédictives (modélisation, data science, etc.)Développer et mettre en œuvre les stratégies et projets de gestion des données, en lien avec les différentes directions de l'entrepriseCollaborer avec les départements business et de gestion pour identifier les besoins en donnéesGérer les projets de data science et d'analyse de donnéesAssurer la maîtrise du cycle de vie de la donnée ainsi que la capitalisation des cas d'usageAssurer la qualité et l'intégrité des donnéesPiloter les trajectoires nationales et régionales visant l'évolution et la rationalisation des Data WarehousesVeiller à la conformité selon les réglementations en matière de protection des données Compétences requises :Expérience avérée en gestion de données et en analyse de données, idéalement dans le secteur de l'assuranceCompétences confirmées en communication et en management d'équipeMaîtrise des outils de gestion de données (SQL, QlikSense, QlikView, etc.)Bonne capacité à appréhender les langages de programmation (Python, R, etc.)Connaissances informatiques et capacité à appréhender des SI variésCapacité à travailler en collaboration avec des équipes pluridisciplinairesExpériences réussies en gestion de projets, dont des projets de données et idéalement d'intelligence artificielleProduction de livrables au niveau des directions et capacité à animer des instances de niveau directionConnaissance des réglementations en matière de protection des données",,Débutant accepté,
