Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Recherche d'un CDI au poste de consultante/ Cheffe de projet,immédiate,75 - PARIS 10,Être à lécoute faire preuve dempathie Sadapter aux changements Travailler en équipe Recueillir et analyser les besoins client Utiliser les outils numériques,Concevoir des supports de communication audiovisuels Mettre en oeuvre des actions de communication Réaliser des actions de relation publique de diffusion et de promotion de linformation Rédiger le contenu dun support de communication,Apprentie consultante en strategie innovation IBM STUDIOS PARIS Bois colombes 92720 France 5 Ans,CDI,Autre,60.0,75,376
"Responsable de maintenance, d'exploitation, de travaux",immédiate,69 - LYON,Faire preuve dautonomie Faire preuve de réactivité Prendre des initiatives et être force de proposition Travailler en équipe Apporter une assistance technique aux équipes,Argumentation commerciale Intermédiaire Audit interne Intermédiaire Automatisme Intermédiaire Commande en gros Débutant Électricité Avancé Électricité basse tension Avancé Électricité haute tension Intermédiaire Électronique Intermédiaire Électrotechnique Avancé Gestes et postures de manutention Avancé Gestion de Maintenance Assistée par Ordinateur GMAO Avancé Logiciel de gestion clients Avancé Logiciel de gestion de stocks Intermédiaire Logiciels comptables Intermédiaire Méthodes et outils de résolution de problèmes Avancé,Responsable technique electricité divers E center Malakoff 92240 3 Ans,CDD-alternance,Autre,36.0,69,377
Product Owner Certifiée | Expertise en Digital et Gestion de Projet | Disponible Immédiatement pour CDI/CDD en France 🇫🇷,immédiate,54 - NANCY,Faire preuve de créativité dinventivité Organiser son travail selon les priorités et les objectifs Respecter ses engagements assumer ses responsabilités Sadapter aux changements Travailler en équipe,Animation dinstances agiles mêlée démonstration rétrospective … Animer des jeux en réseau Droit commercial Droit de la propriété intellectuelle Marketing Mercatique Méthode AGILE Méthodes danalyse systémique fonctionnelle de risques Méthodologie Scrum Organisation dévènements promotionnels Outils de planification des ressources humaines Procédures dappels doffres Procédures délaboration dun plan de tests étapes scénarii Référencement naturel SEO Référencement web Réglementation des jeux et loteries Réglementation du commerce électronique Règlement Général européen sur la Protection des Données RGPD Règles de sécurité Informatique et Télécoms,Master en Marketing digital Montpellier Business School Bac5 et plus ou équivalents 4 Ans,CDI,Autre,48.0,54,378
Consultant ERP SAP TMA / AMS / Key user SAP SD/MM S4 HANA ECC6.0 | Certifié SAP S/4HANA,immédiate,03 - MOULINS,Travailler en équipe Procéder aux phases de tests et de recettes des applications développées Progiciels de gestion intégrée dentreprise ERP Anglais SAP,Assurer un service aprèsvente Avancé Effectuer une démonstration devant un client ou un public Avancé Élaborer adapter une proposition commerciale Avancé Élaborer une stratégie commerciale Avancé Établir un devis Avancé Établir un plan de tournée de prospection ciblage interlocuteurs préparation de dossiers techniques Avancé Mettre en oeuvre des actions commerciales et promotionnelles Avancé Négocier des conditions commerciales Avancé Prospecter de nouveaux clients de nouveaux marchés Avancé,CONSULTANT SAP PRODUCT OWNER SANOFI LYONCette Expérience contient une pièce jointe 5 Ans,CDI,Autre,60.0,03,379
Mon leadership et mes compétences au service de l'entreprise,immédiate,25 - BESANÇON,Faire preuve dautonomie Faire preuve de rigueur et de précision Définir la stratégie financière dune structure Gestion de projet Négocier des solutions techniques ou financières avec un client,Analyse du Cycle de Vie ACV des produits Avancé Anglais des affaires Avancé Conception et Dessin Assistés par Ordinateur CAODAO Avancé Données dactivité de la structure du service Avancé Économie des marchés financiers Intermédiaire Gestion des risques Avancé Logiciel de gestion clients Avancé Progiciels de gestion intégrée dentreprise ERP Avancé,Responsable projets service TEXELIS NouvelleAquitaine 2 Ans,CDD,Autre,24.0,25,380
Ingénieur en Génie Civil et Environnemental,immédiate,59 - LILLE,Python Anglais B Véhicule léger,Méthodes danalyse en biochimie Intermédiaire Python Avancé,Assistant de recherche en laboratoire Laboratoire de chimie et de biologie environnementale Northwestern University Evanston IL USA 1 Ans,Intérim,Autre,12.0,59,381
"Ingénieur d'étude géotechnique, géophysique | environnement",immédiate,49 - ANGERS,Présenter un dossier de chantier au chef de chantier et aux intervenants Connaissance des bases des DTU Document Technique Unifié Géophysique Géotechnique Sols pollués,Analyse numérique Intermédiaire Autocad Débutant Character Studio Avancé Géodésie Intermédiaire Géologie Avancé Géophysique Avancé Géotechnique Avancé Géothermie Avancé Gestion des risques Avancé Logiciel de traitement dimages Avancé Micromécanique Avancé Modélisation 3D Avancé Modélisation et simulation Avancé Photogrammétrie Avancé Pratique du surf Avancé Python Avancé Télédétection Avancé,Ingénieur détude Géophysique WSP France Lyon 2 Ans,CDD,Autre,24.0,49,382
Informaticien Polyvalent Itinérant (+18 ans Expérience),immédiate,68 - MULHOUSE,Configurer le poste de travail aux besoins de lutilisateur Diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel Gestion de parc informatique Installer et intégrer le matériel station équipement réseau périphériques dans lenvironnement de production et configurer les ressources logistiques et physiques,Analyse dincidents Avancé Connectique Avancé Domaine informatique clientserveur Échange de Données Informatisées EDI Intermédiaire Électricité Intermédiaire Électronique Débutant Gestion de Maintenance Assistée par Ordinateur GMAO Avancé Gestion de parc informatique Avancé Informatique Avancé Logiciel de gestion de stocks Avancé Logiciel de traitement de texte Avancé Logiciels de gestion dappels téléphoniques Avancé Logiciel tableur Avancé Mécanique Avancé Microinformatique Avancé Microsoft Active Directory Intermédiaire Outils de data management Avancé Paramétrage de logiciels Avancé Principes de fonctionnement dun moteur Avancé Progiciels de gestion intégrée dentreprise ERP Avancé Système dexploitation informatique Android Intermédiaire Système dexploitation Linux Intermédiaire Système dexploitation Unix Système dexploitation Windows Avancé Système de Gestion de Bases de Données SGBD Intermédiaire Système de messagerie Avancé Système informatique embarqué ou fixe Avancé Système réseau LAN MAN WAN Avancé Technologie des équipements électriques Débutant,Field Service Engineer Data Center DELL FRANCE 2 Ans,CDD-alternance,Autre,24.0,68,383
"Développeur back-end, Ruby on Rails",immédiate,04 - DIGNE-LES-BAINS,Règles de sécurité Informatique et Télécoms Script Shell Système de Gestion de Bases de Données SGBD Paramétrer un logiciel un outil un système numérique Ruby,Algorithmique Application web Architecture web Comptabilité générale CSS Intermédiaire Gestion administrative Gestion budgétaire Gestion commerciale relation clients HTML Intermédiaire Logiciels dédition multimédia Avancé Nouvelles Technologies de linformation et de la Communication NTIC Avancé PHP Débutant Python Intermédiaire Ruby Avancé Sciences et techniques de lingénieur Script Shell SQL Intermédiaire Système dinformation et de communication Système de Gestion de Bases de Données SGBD Intermédiaire Systèmes dexploitation informatique Intermédiaire XML Intermédiaire,Webmaster OpenSource France 1 Ans,CDI,Développeur,12.0,04,384
Expert Réseaux et Télécom 35 ans d'expérience,immédiate,54 - NANCY,Animer coordonner une équipe Expert réseaux LAN WAN Fibre optique Expert télécom Formateur Gestion de projet,ADSL Avancé Architecture dun réseau téléphonique commuté Avancé Domotique Intermédiaire Données dactivité de la structure du service Avancé Électronique Avancé Informatique Avancé Installation de téléphonie numérique Avancé Installation de téléphonie sans fils Avancé Logiciel de traitement de texte Avancé Logiciels de gestion dappels téléphoniques Avancé Logiciel tableur Avancé Méthodes et outils de résolution de problèmes Avancé Microinformatique Avancé Négociation Avancé Réseaux Digital Subscriber Line DSL Avancé Réseaux Digital System for Mobile Communications DECT Avancé Réseaux Local Area Network LAN Avancé Réseaux Private Automatic Branch eXchange PABX Avancé Réseaux VoiesDonnéesImages VDI Avancé Réseaux Wide Area Network WAN Avancé Technologie des fibres optiques Avancé Technologies radiofréquences Intermédiaire,ITC Ariane Expert télécom sur les produits Alcatel 3 Ans,CDD,Autre,36.0,54,385
A la recherche d'un emploi principalement en gestion de projets (multi-industriels).,immédiate,22 - SAINT-BRIEUC,Concevoir et gérer un projet Conseiller des entreprises Élaborer une stratégie de développement dactivité Recueillir et analyser les besoins client Rédiger un rapport un compte rendu dactivité,EBusiness Économie du développement durable Knowledge Management,Bras droit Country Manager Voyage Privé AixEnProvence 4 Ans,CDI,Autre,48.0,22,386
Recherche une entreprise pour une alternance CDA (Concepteur Développeur d’Applications),immédiate,64 - PAU,Coder Collaborer avec une équipe projet Développer un logiciel un système dinformations une application Faire preuve de curiosité Langages de programmation informatique,Algorithmique Anglais technique Apache Application web Architecture MVC Modèle Vue Contrôleur Argumentation commerciale Basic Blender Business Intelligence BI Informatique décisionnelle CC Cloud computing Conception et réalisation de sites web danimation de jeux vidéo Construction durable Écoconstruction CSS Docker Écologie Électronique Framework Angular Framework AngularJS Génie logiciel Gestion de version GIT GitHub GitLab Google Analytics HTML Informatique des systèmes embarqués Intelligence artificielle Javascript Kubernetes Langages de programmation informatique Logiciel de gestion clients Maîtrise des logiciels de création et d’édition graphique PAO Publicité assistée par ordinateur Photoshop Illustrator InDesign Maîtrise du pack Office Word Excel Outlook PowerPoint Mécanique générale Microsoft Visual Studio MySQL Nodejs Outils de web analyse web analytics PHP Progiciels de gestion de la relation client CRM Customer Relationship Management Progiciels de gestion intégrée dentreprise ERP Programmation logicielle Programmation orientée objet POO Projet multimédia Publication Assistée par Ordinateur PAO Publicité sur les moteurs de recherche SEA Search Engine Advertising Python Reactjs Sciences et techniques de lingénieur Script Shell Site de vente en ligne SolidWorks SQL Suite bureautique LibreOffice Symfony Symfony2 Système dexploitation Linux Système dexploitation Windows Système embarqué Système informatique embarqué ou fixe Webmarketing WordPress CMS,Recherche une entreprise pour une alternance CDA Concepteur Développeur d’Applications FranceCette Expérience contient une pièce jointe 5 Ans,Intérim,Développeur,60.0,64,387
Administrateur IT,immédiate,11 - CARCASSONNE,Technologies et protocoles réseaux Business Intelligence BI Informatique décisionnelle Gérer et maitriser des bases de données SQLNoSQL Planifier des réparations Système dexploitation informatique VMWare virtualisation darchitecture,Business Intelligence BI Informatique décisionnelle Avancé C Avancé DataMart Magasin de données Avancé Exploration de données data mining Avancé Javascript Avancé Langages de programmation informatique Avancé Microsoft Access Avancé Microsoft Excel Avancé Microsoft PowerPoint Avancé Microsoft SQL Server Avancé Microsoft Word Avancé Modélisation et simulation Avancé MySQL Avancé Oracle Intermédiaire Pratique de la natation Avancé Système dexploitation informatique VirtualBox Avancé Système dexploitation informatique VMWare virtualisation darchitecture Avancé Technologies et protocoles réseaux Intermédiaire WordPress CMS Intermédiaire,Master en Informatique appliquée offshoring Bac5 et plus ou équivalents 3 Ans,CDD,Autre,36.0,11,388
"Directeur travaux projets GTC GTB  ERP Batiments privés publics, Industriels, Hopitaux, Hotels, Ouvrages dArts",immédiate,73 - CHAMBÉRY,,Cahier des Clauses Administratives Particulières CCAP Cahier des Clauses Techniques Particulières CCTP Chiffragecalcul de coût Code des marchés publics Dossier dIntervention Ultérieure sur lOuvrage DIUO Avancé Droit de lurbanisme et de la construction Droit immobilier Gestion de projet Législation sociale Méthode de fabrication douvrage en bois Méthodes de transaction immobilière Normes de la construction Avancé Normes environnementales Plan Particulier de Sécurité et de Protection de la Santé PPSPS Procédures dappels doffres Réglementation fiscale immobilière Règles dintervention sur réseaux de distribution Règles et consignes de sécurité,Chargé de projet TCE ArteliaEmpeering Paris La défense 5 Ans,Intérim,Autre,60.0,73,389
Consultant aéronautique / Instructeur aéronautique / Mécanicien navigant / Opérateur de Bord / Treuilliste,immédiate,25 - BESANÇON,Anglais technique Formation Enseignement Opérations de « Travail Aérien » nécessitant une qualification Hélitreuillage Planification Suivi Contrôle Reporting Système de navigation embarqué,Accompagner une personne dans lacquisition de connaissances Intermédiaire Assurer le suivi de la formation et le tracer dans les outils de suivi pédagogique à disposition Avancé Concevoir des modules de formation Avancé Concevoir des référentiels de formations Intermédiaire Concevoir et préparer les cours les travaux dirigés ou les travaux pratiques Avancé Concevoir lingénierie de formation et les séquences pédagogiques Intermédiaire Concevoir un programme de formation Intermédiaire Corriger des évaluations exercices travaux pratiques examens Avancé Définir la progression pédagogique Intermédiaire Enseigner transmettre des connaissances développer des compétences Intermédiaire Transmettre une technique un savoirfaire Avancé,Formateur et rédacteur de documentation aéronautique DCISA 1 Ans,Intérim,Autre,12.0,25,390
"Bonjour, je soumets à votre estimée Excellence ma candidature pour travailler dans votre estimée entreprise. J'espère que ma candidature sera acceptée. Merci.",immédiate,67 - STRASBOURG,,Réaliser les travaux de montage dassemblage,Couture de vêtements à la mode et contrôle de la qualité de la production Tsfco Sefrou FèsCette Expérience contient une pièce jointe 4 Ans,CDD,Autre,48.0,67,391
Developpeur Full Stack,immédiate,75 - PARIS 18,J2EE Framework Angular Java Knowledge Management,Algorithmique Anglais technique Application web Avancé Architecture web ASPNET C Cobol CSS Framework Angular Avancé HTML Informatique de gestion J2EE Java Avancé Knowledge Management Avancé Langages de programmation informatique PHP Programmation logicielle Python Reactjs SQL VBNET Visual Basic XML,Développeur Full Stack Capgemini Schiltigheim 5 Ans,Intérim,Autre,60.0,75,392
Jeune diplômé en écotoxicologie / toxicologie avec expertise de recherche.,immédiate,08 - CHARLEVILLE-MÉZIÈRES,Français Anglais,Mettre en oeuvre des actions de communication interne Intermédiaire Présenter et expliciter les avancées scientifiques et les travaux de recherche Avancé,Master Toxicologie et Ecotoxicologie Parcours ENACE Bac5 et plus ou équivalents 4 Ans,CDD-alternance,Autre,48.0,08,393
ingenieur senior developpement 3D,immédiate,France,,Informatique Langages de programmation informatique Logiciel de gestion documentaire Logiciel de traitement de texte Intermédiaire Logiciel tableur Intermédiaire Mathématiques Avancé Modélisation et simulation Technologies informatiques Technologies télécoms,Ingenieur développement 3D senior RANCH COMPUTING Paris 75018 2 Ans,Intérim,Autre,24.0,France,394
"Docteur en Economie Appliquée, spécialisé dans la recherche et les études en économie publique et environnementale",immédiate,35 - RENNES,Économétrie Logiciels de gestion de base de données Méthodes denquête Modélisation économique Sciences économiques et sociales,Analyse statistique Avancé Big data Analytics Intermédiaire Conception et analyse denquête Développement économique Avancé Économétrie Avancé Économie Économie du développement durable Avancé Gestion budgétaire Logiciel de statistiques Avancé Logiciels de gestion de base de données Avancé Modélisation et simulation Modélisation statistique Avancé Sciences économiques et sociales Avancé Urbanisme,Chargé détudes sénior ORIE Observatoire Régional de lImmobilier dEntreprise en IDF PARIS 1 Ans,CDD,Autre,12.0,35,395
Developpeur,immédiate,34 - MONTPELLIER,,Algorithmique Architecture propriétaire Architecture web Business Intelligence BI Informatique décisionnelle CC Avancé Delphi Intermédiaire Gestion de configuration HTML Avancé Infogérance télémaintenance Informatique de gestion Informatique industrielle Ingénierie dexploitation Java Intermédiaire Javascript Langages de programmation informatique Avancé Logiciel de traitement de texte Avancé Logiciels dinterface middleware Logiciel tableur Avancé PDO PHP Data Objects Perl Débutant PHP Avancé Publication Assistée par Ordinateur PAO SQL Avancé Système dexploitation Linux Intermédiaire Système dexploitation MacOS Avancé Système dexploitation Windows Intermédiaire Système de Gestion de Bases de Données SGBD Intermédiaire Système de messagerie Intermédiaire Système embarqué Intermédiaire Système multiprocesseurs Intermédiaire Système réseau LAN MAN WAN Intermédiaire Systèmes dexploitation informatique Intermédiaire Visual Basic Débutant,Veille technologique Développeur JAVAAngular 1 Ans,Intérim,Autre,12.0,34,396
Responsable ou adjoint approvisionnement logistique supply chain,immédiate,14 - CAEN,Faire preuve dautonomie coordination de services erp Gérer les stocks gestion des commandes,Droit commercial Débutant Gestion de projet Intermédiaire Organisation dun site dentreposage plan de circulation Intermédiaire Organisation de la chaîne logistique Intermédiaire Outils de planification Intermédiaire Principes doptimisation des coûts Intermédiaire Réglementation du transport de marchandises Débutant Réglementation sur le stockage de produits spécifiques dangereux sous température dirigée phytosanitaire Intermédiaire,consultant Prime Engineering Libourne 5 Ans,Intérim,Autre,60.0,14,397
Développeur Web,immédiate,59 - LILLE,Faire preuve dautonomie Faire preuve de curiosité Faire preuve de réactivité Faire preuve de rigueur et de précision Travailler en équipe,Algorithmique Connectique CSS Avancé Gestion de parc informatique Débutant HTML Avancé Informatique Avancé Javascript Intermédiaire Logiciel de traitement de texte Intermédiaire Logiciel tableur Intermédiaire MySQL Débutant PDO PHP Data Objects Débutant PHP Débutant SQL Intermédiaire,Développeur Web Epitech Webacadémie Bac2 ou équivalentsCette Formation contient une pièce jointe 4 Ans,CDD-alternance,Développeur,48.0,59,398
Ingénieur en Sécurité des Systèmes et Devops,immédiate,26 - VALENCE,Contribuer à la cybersécurité de lentreprise savoir reconnaître les données sensibles Définir et faire évoluer la politique de sécurité des systèmes dinformation du Groupe PSSI Esprit dinitiative autonomie et travail en équipe Faire preuve dagilité dans son action selon les contextes Rechercher et identifier les risques menaces atteintes à la sécurité publique aux lois et aux institutions,Concevoir et maintenir un système de cybersécurité Avancé Contribuer à la cybersécurité de lentreprise savoir reconnaître les données sensibles Avancé Rechercher et identifier les risques menaces atteintes à la sécurité publique aux lois et aux institutions Avancé Sassurer du respect des règles de cybersécurité Avancé,INGÉNIEUR SÉCURITÉ OPÉRATIONNEL BP TECH TECH 4 Ans,CDI,DevOps,48.0,26,399
"PÉDAGOGIE, RÉFLEXIVITÉ, INTELLIGENCE COLLECTIVE ENTHOUSIASME",immédiate,29 - BREST,Être à lécoute faire preuve dempathie Faire preuve de leadership Concevoir un programme de formation Outils multimédias Techniques dexpression corporelle,Feuilleton radiophonique Avancé Lecturespectacle monologue Avancé Outils multimédias Avancé Progiciel de gestion SAS Statistiques Intermédiaire Python Débutant Technologies de linformation et de la communication TIC Avancé Théâtre classique Avancé Théâtre contemporain Avancé,FormateurChargé de mission Accompagnement au changement DRFIP Haute Garonne Toulouse 2 Ans,CDI,Autre,24.0,29,400
Jeune diplômée d'un master ingénieur en intelligence artificiel à la recherche d'un premier emplois,immédiate,31 - TOULOUSE,,Algorithmique Analyse statistique Anglais technique Apprentissage automatique machine learning Big data Analytics Business Intelligence BI Informatique décisionnelle CC Génie logiciel HTML Intelligence artificielle Java Langages de programmation informatique Logiciels de gestion de base de données Programmation logicielle Python SQL Système dexploitation Linux Système dexploitation Windows Système de Gestion de Bases de Données SGBD Systèmes dexploitation informatique XML,Ingénieur généraliste Bac5 et plus ou équivalents 4 Ans,CDD-alternance,Autre,48.0,31,401
Double diplômé ingénieur des mines + MBA - Je souhaite mettre mes 6 années d'expérience en industrie et supply chain au profit de vos clients - Conseil en stratégie,immédiate,25 - BESANÇON,Conseiller des entreprises Animer coordonner une équipe Concevoir et gérer un projet Préconiser des améliorations en matière dorganisation de gestion de procédures Structurer synthétiser des informations,Analyse des risques Intermédiaire Analyse du Cycle de Vie ACV des produits Intermédiaire Analyse statistique Intermédiaire Anglais technique Avancé Audit interne Intermédiaire Biochimie Intermédiaire Business Intelligence BI Informatique décisionnelle Avancé Caractéristiques de la chaîne logistique Supply Chain Avancé Conception de Fabrication Assistée par Ordinateur CFAO Intermédiaire Conception et Dessin Assistés par Ordinateur CAODAO Intermédiaire Données dactivité de la structure du service Intermédiaire Efficacité énergétique Intermédiaire Électricité Intermédiaire Ergonomie Intermédiaire Génie énergétique Intermédiaire Gestion budgétaire Intermédiaire Gestion de linformation stratégique Intermédiaire Gestion des flux de production Avancé Intelligence économique Intermédiaire Knowledge Management Intermédiaire Langages de programmation informatique Intermédiaire Logiciel de gestion de stocks Intermédiaire Logiciel de gestion documentaire Intermédiaire Logiciel de traitement de texte Avancé Logiciels de gestion de base de données Intermédiaire Logiciel tableur Avancé Management de léconomie numérique Intermédiaire Management de la chaîne logistique Supply chain management Avancé Management de proximité Avancé Mécanique Intermédiaire Modélisation et simulation Intermédiaire Outil de gestion des flux Intermédiaire Progiciels de gestion intégrée dentreprise ERP Intermédiaire Stratégies de communication Intermédiaire Suivi et mise à jour de banques de données de références de nomenclatures Intermédiaire,MBA Management in Business Administration Bac5 et plus ou équivalentsCette Formation contient une pièce jointe 2 Ans,CDD-alternance,Autre,24.0,25,402
Modélisation et simulations numériques,immédiate,07 - PRIVAS,Concevoir des modèles théoriques calcul simulation modélisation Établir un rapport détude ou de recherche Informatique Réaliser et vérifier des calculs de mathématiques généraux ou appliqués Sciences physiques,Analyse statistique Avancé Informatique Avancé Langages de programmation informatique Avancé Logiciel de gestion documentaire Logiciel de traitement de texte Avancé Logiciel tableur Intermédiaire Mathématiques Avancé Mécanique Avancé Modélisation et simulation Avancé Sciences de linformation et de la communication Sciences de lunivers Avancé Sciences physiques Avancé,Chercheur en Calcul Scientifique INSERM Tours France 1 Ans,CDD-alternance,Autre,12.0,07,403
"Expert Changement, Motivation, Digitalisation, Evénementiel",immédiate,01 - BOURG-EN-BRESSE,Communication processus outils mesure techniques coach Management animation recrutement motivation Proposer et accompagner des actions de transformation organisationnelle Responsabilité Sociétale des Entreprises RSE Stratégies de communication externe,Allemand des affaires Intermédiaire Gestion budgétaire Avancé Logiciel de traitement de texte Intermédiaire Logiciel tableur Intermédiaire Management opérationnel Avancé Médias Pratique de l’anglais Avancé Reportage Avancé Stratégies de communication externe Avancé,Initiateur Convention APM G7 Biarritz Biarritz 5 Ans,CDD,Autre,60.0,01,404
"Double compétence informatique : Responsable systèmes d'information d'une part, et Ingénierie logicielle d'autre part.",immédiate,26 - VALENCE,Animer coordonner une équipe Langages de programmation informatique Élaborer un schéma directeur technique définir des besoins en équipement Gestion de projet Logiciels de gestion de base de données,Architecture web Intermédiaire ASPNET Communication digitale Culture générale Domaine culturel Informatique Avancé Langages de programmation informatique Logiciels de gestion de base de données Avancé Nouvelles Technologies de linformation et de la Communication NTIC Avancé Sciences et techniques de lingénieur Intermédiaire Technologies informatiques Avancé Visual Basic,PRINCE2® 6th edition Foundation Bac3 Bac4 ou équivalents 2 Ans,CDI,Autre,24.0,26,405
Journaliste web et print,immédiate,76 - ROUEN,Faire preuve de réactivité Prendre des initiatives et être force de proposition Identifier des sources et lieux dinformation Rédiger un article de presse Veiller au respect dune ligne éditoriale,Anglais niveau avancé B2 Avancé Culture générale Domaine culturel Avancé Écriture journalistique Avancé Langues vivantes étrangères Avancé Médias Avancé Sciences politiques Avancé Typographie Avancé,Journaliste rédactrice stage Rue89Lyon LyonCette Expérience contient une pièce jointe 1 Ans,CDD-alternance,Autre,12.0,76,406
DIRECTEUR PEDAGOGIQUE - DIRECTEUR DES RELATIONS INTERNATIONALES - RESPONSABLE DE PROGRAMMES,immédiate,25 - BESANÇON,,Adapter un dispositif de formation selon les évolutions pédagogiques sociales économiques et techniques Avancé Collecter des informations pour préparer une séquence de formation une leçon Avancé Concevoir et préparer les cours les travaux dirigés ou les travaux pratiques Avancé Définir des besoins en développement des compétences Avancé Définir des ressources pédagogiques Avancé Définir un objectif dapprentissage et le programme des activités pédagogiques Avancé Développer une démarche pédagogique pour lenseignement des savoirs fondamentaux Avancé Enseigner transmettre des connaissances développer des compétences Avancé Évaluer des acquis dapprentissage de formation ou dexpérience Avancé Organiser et piloter un programme de formation Avancé Organiser lespace pédagogique Avancé,DIRECTRICE DES ETUDES ET DES RELATIONS INTERNATIONALES 5 Ans,CDD-alternance,Autre,60.0,25,407
"A la recherche d'un emploi ""Acqusition digital"", ""Traffic manager""",immédiate,75 - PARIS 01,Google Analytics Référencement naturel SEO Ecommerce Publicité sur les moteurs de recherche SEA Search Engine Advertising WordPress CMS,Analyse statistique Ecommerce Avancé Gestion budgétaire Google Analytics Intermédiaire Insights marketing Outils de web analyse web analytics Publicité sur les moteurs de recherche SEA Search Engine Advertising Avancé Search Engine Marketing SEM Intermédiaire WordPress CMS Avancé,Traffic Manager SEASEO Graine de Production Paris 1 Ans,CDD-alternance,Autre,12.0,75,408
ENSEIGNANT-FORMATEUR MATIERES GENERALES,immédiate,07 - PRIVAS,,Animer des activités culturelles et artistiques Concevoir et animer des activités sportives Gestion de projet Méthodes danalyse systémique fonctionnelle de risques Méthodes de prospective,formation continue responsable ressources humaines Bac3 Bac4 ou équivalents 2 Ans,CDI,Autre,24.0,07,409
Alternance - Ingénieur System & Réseau,immédiate,73 - CHAMBÉRY,Concevoir et gérer un projet Projet de développement informatique Gérer des données massives Règlement Général européen sur la Protection des Données RGPD Veiller au respect de la loi Informatique et Libertés et du RGPD dans lentreprise gérer la liste des traitements de données à caractère personnel faire linterface avec la Commission Nationale de lInformatique et des Libertés CNIL,Analyse dincidents Avancé Domaine informatique clientserveur Avancé Informatique de gestion Intermédiaire Informatique industrielle Intermédiaire Intelligence artificielle Avancé Microinformatique Débutant Progiciels de gestion intégrée dentreprise ERP Avancé Systèmes dexploitation informatique Avancé Technologie de linternet Avancé,LICENCE ADMINISTRATEUR DINFRASTRUCTURES SECURISEES Bac3 Bac4 ou équivalents 5 Ans,Intérim,Autre,60.0,73,410
Développeur Concepteur Informatique,immédiate,07 - PRIVAS,Installer et intégrer le matériel station équipement réseau périphériques dans lenvironnement de production et configurer les ressources logistiques et physiques JAVA JEE Administration Systèmes et Réseaux Concevoir larchitecture dun système dun réseau SQL,CC Débutant C Débutant Framework Hibernate Intermédiaire Framework Spring Intermédiaire HTML Avancé Java Intermédiaire PHP Intermédiaire SQL Avancé Système dexploitation informatique Android Système dexploitation informatique Apache Tomcat Système dexploitation informatique VirtualBox Système dexploitation informatique VMWare virtualisation darchitecture Système dexploitation Windows,Master 1 Human Booster Concepteur développeur informatique Bac3 Bac4 ou équivalents 3 Ans,CDI,Développeur,36.0,07,411
"Chef de projet International Télécoms, IT, Cloud",immédiate,13 - MARSEILLE,Piloter une activité Animer coordonner une équipe Concevoir et gérer un projet ScrumAgile Anglais,Analyse statistique Anglais technique Architecture réseau Conception et Dessin Assistés par Ordinateur CAODAO Données dactivité de la structure du service Avancé Gestion budgétaire Logiciel de traitement de texte Avancé Logiciel tableur Avancé Modélisation et simulation Progiciels de gestion intégrée dentreprise ERP Technologies et protocoles réseaux Technologies numériques Avancé Typologie du client Intermédiaire,Gérer un projet en mobilisant les méthodes agiles 3 Ans,CDD,Chef de projet/Scrum Master,36.0,13,412
Directrice Opérationnelle / Formatrice,immédiate,50 - SAINT-LÔ,Déterminer des mesures correctives Organiser et coordonner le circuit des informations sur le fonctionnement dune structure Gestion économique Management,Audit interne Gestion administrative Logiciel de traitement de texte Intermédiaire Logiciel tableur Intermédiaire Merchandising Marchandisage Typologie du client,Directrice dEnseigne Le Marchand Bio SARL Federzoni Participations 1 Ans,CDD-alternance,Autre,12.0,50,413
Ingénieure en développement Full Stack,immédiate,75 - PARIS 01,Faire preuve de créativité dinventivité Faire preuve de curiosité Organiser son travail selon les priorités et les objectifs Travailler en équipe,Algorithmique Application web Avancé ASPNET CSS Gestion commerciale relation clients HTML Informatique de gestion Informatique scientifique et technique J2EE Java Langages de programmation informatique Progiciels de gestion intégrée dentreprise ERP Programmation logicielle Python Reactjs SQL Systèmes dexploitation informatique Visual Basic XML,Assistante vacataire Faculté des Sciences Juridiques Économiques et de Gestion de Jendouba Tunisie Jendouba 5 Ans,CDI,Autre,60.0,75,414
Statisticien,immédiate,64 - PAU,Logiciel R Pack microsoft office Présenter et diffuser les résultats des études réalisées SQL Statistiques,Algorithmique Avancé Analyse statistique Intermédiaire Conception et analyse denquête Intermédiaire Développement économique Débutant Économétrie Débutant Économie du développement durable Débutant Gestion commerciale relation clients Débutant Intelligence économique Débutant Langages de programmation informatique Intermédiaire Logiciel de statistiques Avancé Logiciel de traitement de texte Intermédiaire Logiciels de gestion de base de données Avancé Logiciel tableur Avancé Modélisation et simulation Intermédiaire Modélisation statistique Avancé Sciences économiques et sociales Débutant Statistiques Avancé,Data Analyste JDC Bouguenais Loire Atlantique 4 Ans,CDI,Autre,48.0,64,415
je cherche un travail en tant que traductrice français wofof,immédiate,29 - BREST,,Design dun site web Avancé HTML Avancé Image de synthèse Avancé Informatique de gestion Avancé Langues vivantes étrangères Avancé Linguistique Avancé Logiciel de traitement de texte Avancé Logiciel tableur Avancé Photoshop Avancé Progiciels de gestion de la relation client CRM Customer Relationship Management Avancé Typographie Avancé,informaticienne développement du site internet HTML Magasin de la Fête Ormes 5 Ans,Intérim,Autre,60.0,29,416
